"Positions for CUSTACCS as of 10:01 AM ET, 11/28/2024","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"EF2 ...416","","","","","","","","","","","","","","","",""
"DFVEX","DFA US VECTOR EQUITY I","1,737","$28.95","-0.24%","-$0.07","$50286.15","-0.24%","-$121.59","$40255.84","24.92%","$10030.31","4","No","No","12.87%","Mutual Fund"
"DFVQX","DFA INTERNATIONAL VECTOR EQUITY I","4,395","$13.86","0.51%","$0.07","$60914.7","0.51%","$307.65","$53288.14","14.31%","$7626.56","3","No","No","15.59%","Mutual Fund"
"ORTYX","NYLI MACKAY OREGON MUNI CLASS I","836","$10.32","0.19%","$0.02","$8627.52","0.19%","$16.72","$9068.04","-4.86%","-$440.52","3","No","No","2.21%","Mutual Fund"
"VWITX","VANGUARD INTERM-TERM TX-EX INV","433","$13.71","0.15%","$0.02","$5936.43","0.15%","$8.66","$6398.65","-7.22%","-$462.22","4","No","No","1.52%","Mutual Fund"
"VWIUX","VANGUARD INTERM-TERM TX-EX ADM","224","$13.71","0.15%","$0.02","$3071.04","0.15%","$4.48","$3225.6","-4.79%","-$154.56","4","No","No","0.79%","Mutual Fund"
"VTWAX","VANGUARD INTERM-TERM TX-EX ADM","224","$13.71","0.15%","$0.02","$0","0.15%","$4.48","$3225.6","-4.79%","-$154.56","4","No","No","0.79%","Mutual Fund"
"VGSLX","VANGUARD INTERM-TERM TX-EX ADM","224","$13.71","0.15%","$0.02","$0","0.15%","$4.48","$3225.6","-4.79%","-$154.56","4","No","No","0.79%","Mutual Fund"
"VEMAX","VANGUARD INTERM-TERM TX-EX ADM","224","$13.71","0.15%","$0.02","$0","0.15%","$4.48","$3225.6","-4.79%","-$154.56","4","No","No","0.79%","Mutual Fund"
"VSIAX","VANGUARD INTERM-TERM TX-EX ADM","224","$13.71","0.15%","$0.02","$0","0.15%","$4.48","$3225.6","-4.79%","-$154.56","4","No","No","0.79%","Mutual Fund"
"VBTLX","VANGUARD INTERM-TERM TX-EX ADM","224","$13.71","0.15%","$0.02","$0","0.15%","$4.48","$3225.6","-4.79%","-$154.56","4","No","No","0.79%","Mutual Fund"
"Cash & Cash Investments","--","--","--","--","--","$208906.44","0%","$0.00","--","--","--","--","--","--","53.48%","Cash and Money Market"
"Account Total","--","--","--","--","--","$390627.99","0.08%","$304.58","$161180.41","12.74%","$20541.14","--","--","--","--","--"
